Packet Size,Direction
66,B to A
116,A to B
45,A to B
66,B to A
71,B to A
62,B to A
116,A to B
45,A to B
57,A to B
47,A to B
45,A to B
57,A to B
45,A to B
57,A to B
57,A to B
116,A to B
45,A to B
47,A to B
45,A to B
45,A to B
49,B to A
61,B to A
45,B to A
57,B to A
49,A to B
45,A to B
45,A to B
57,A to B
49,A to B
45,A to B
71,B to A
53,A to B
57,A to B
52,A to B
57,A to B
53,A to B
52,A to B
53,A to B
57,A to B
53,A to B
67,B to A
47,A to B
57,A to B
45,A to B
45,A to B
57,A to B
57,A to B
47,A to B
49,B to A
45,A to B
45,A to B
54,B to A
45,B to A
50,B to A
45,A to B
57,A to B
45,A to B
54,B to A
50,B to A
50,B to A
45,A to B
57,A to B
45,A to B
54,B to A
50,B to A
45,A to B
57,A to B
45,A to B
62,B to A
58,B to A
45,A to B
57,A to B
57,A to B
49,A to B
45,A to B
71,B to A
67,B to A
47,A to B
57,A to B
45,A to B
45,A to B
57,A to B
47,A to B
45,A to B
45,A to B
49,B to A
60,B to A
45,B to A
56,B to A
49,A to B
45,A to B
57,A to B
49,A to B
45,A to B
71,B to A
49,B to A
60,B to A
71,B to A
49,B to A
61,B to A
54,B to A
71,B to A
49,B to A
71,B to A
49,B to A
62,B to A
52,A to B
54,B to A
53,A to B
53,A to B
45,A to B
57,A to B
54,B to A
45,A to B
66,B to A
45,A to B
45,A to B
71,B to A
47,A to B
45,A to B
45,A to B
49,B to A
61,B to A
49,A to B
45,A to B
71,B to A
47,A to B
45,A to B
45,A to B
49,B to A
62,B to A
49,A to B
45,A to B
71,B to A
47,A to B
45,A to B
45,A to B
45,A to B
49,B to A
60,B to A
49,A to B
45,A to B
71,B to A
47,A to B
45,A to B
45,A to B
45,A to B
45,A to B
49,B to A
60,B to A
52,A to B
45,A to B
71,B to A
47,A to B
45,A to B
45,A to B
49,B to A
61,B to A
45,A to B
71,B to A
67,B to A
47,A to B
45,A to B
45,A to B
49,B to A
71,B to A
47,A to B
45,A to B
45,A to B
57,A to B
57,A to B
57,A to B
47,A to B
45,A to B
45,A to B
49,B to A
62,B to A
45,B to A
58,B to A
49,A to B
57,A to B
45,A to B
57,A to B
49,A to B
45,A to B
53,A to B
57,A to B
52,A to B
57,A to B
53,A to B
52,A to B
54,B to A
53,A to B
57,A to B
53,A to B
50,B to A
45,A to B
57,A to B
45,A to B
54,B to A
54,B to A
54,B to A
53,A to B
57,A to B
53,A to B
54,B to A
50,B to A
50,B to A
50,B to A
50,B to A
45,A to B
45,A to B
57,A to B
57,A to B
57,A to B
45,A to B
45,A to B
57,A to B
57,A to B
57,A to B
45,A to B
45,A to B
45,A to B
45,A to B
54,B to A
54,B to A
52,A to B
57,A to B
52,A to B
53,A to B
57,A to B
53,A to B
54,B to A
50,B to A
50,B to A
50,B to A
57,A to B
57,A to B
45,A to B
57,A to B
45,A to B
45,A to B
45,A to B
54,B to A
54,B to A
54,B to A
50,B to A
50,B to A
50,B to A
57,A to B
57,A to B
57,A to B
45,A to B
45,A to B
45,A to B
61,B to A
54,B to A
57,B to A
50,B to A
57,A to B
57,A to B
45,A to B
45,A to B
54,B to A
50,B to A
57,A to B
45,A to B
57,A to B
57,A to B
53,B to A
49,B to A
45,A to B
57,A to B
45,A to B
53,A to B
57,A to B
57,A to B
52,A to B
57,A to B
53,A to B
53,A to B
52,A to B
57,A to B
54,B to A
53,A to B
50,B to A
45,A to B
