Direction,PacketSize
outgoing,45
outgoing,45
outgoing,53
incoming,45
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
outgoing,54
incoming,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
outgoing,54
outgoing,54
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,54
incoming,50
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
incoming,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,53
incoming,45
incoming,45
outgoing,54
incoming,50
incoming,50
outgoing,45
outgoing,45
incoming,50
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,50
incoming,45
outgoing,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
incoming,50
incoming,50
incoming,50
incoming,50
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
outgoing,45
incoming,50
incoming,50
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,54
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
outgoing,54
incoming,50
incoming,50
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
incoming,50
incoming,50
incoming,50
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,50
incoming,45
outgoing,45
outgoing,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,54
outgoing,45
incoming,50
incoming,50
incoming,50
incoming,50
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
outgoing,53
incoming,45
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,54
incoming,50
incoming,50
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
outgoing,53
incoming,45
outgoing,54
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
incoming,45
incoming,45
incoming,45
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,50
incoming,45
outgoing,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
incoming,50
outgoing,45
incoming,50
incoming,50
outgoing,45
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,54
incoming,50
outgoing,52
incoming,45
outgoing,54
incoming,50
outgoing,45
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
outgoing,53
outgoing,53
incoming,50
incoming,45
outgoing,45
incoming,45
incoming,45
incoming,45
outgoing,54
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
outgoing,54
incoming,50
incoming,50
outgoing,45
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,53
incoming,45
outgoing,54
incoming,50
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
outgoing,54
incoming,50
incoming,50
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,45
incoming,45
incoming,45
outgoing,54
incoming,50
outgoing,45
outgoing,53
incoming,45
